pair_id,block_id,macro_domain_id,macro_domain_name,difficulty_tier,national_statute_title,national_statute_citation,national_statute_text,local_ordinance_title,local_ordinance_citation,ordinance_hypothesis_text,local_legislative_provenance,ordinance_source_type,ordinance_reference_context,presumed_gold_label,presumed_rationale,assigned_panel,assigned_annotators
GT-047,Block_1,0,Executive Issuances & Policy Reorganization,Tier 3: Latent & Paraphrastic,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 12,"Section 12. Local Disaster Risk Reduction and Management Office (LDRRMO). — (a) There shall be established an LDRRMO in every province, city and municipality, and a Barangay Disaster Risk Reduction and Management Committee in every barangay which shall be responsible for setting the direction, development, implementation and coordination of disaster risk management programs within their territorial jurisdiction. (b) The LDRRMO shall be under the office of the governor or city or municipal mayor, and the BDRRMC shall be under the office of the punong barangay. The LDRRMOs shall be initially organized and composed of a Local Disaster Risk Reduction and Management Officer to be assisted by three staff responsible for administration, planning, and operations.","City Ordinance No. 0355-17, Series of 2017 (The Davao City Rainwater Harvesting Facility and Civil Building Drainage Standards Ordinance)",Section 6,"SECTION 6. ATHLETIC FIELD DRAINAGE CONSTRUCTION. — In the exercise of delegated police powers to preserve public safety and stabilize local economic conditions during emergency periods, municipal elementary school sports grounds shall incorporate subterranean gravel drainage grids to prevent stagnant storm water accumulation during wet season athletic events. The Business Bureau and municipal inspection teams shall maintain continuous surveillance to ensure that all local commercial operations conform strictly to these municipal directives.","City Ordinance No. 0355-17, Series of 2017 (The Davao City Rainwater Harvesting Facility and Civil Building Drainage Standards Ordinance)",Actual Davao City Ordinance Adaptation,Davao City Public School Grounds Soil Drainage Specification,Neutral,Regulates school grounds civil engineering; completely distinct from civil defense office structuring.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-048,Block_1,0,Executive Issuances & Policy Reorganization,Tier 3: Latent & Paraphrastic,Republic Act No. 11032 (Ease of Doing Business and Efficient Government Service Delivery Act of 2018),Section 9(b)(1),"Section 9(b)(1). Action of Offices. — All applications or requests submitted shall be acted upon by the assigned officer or employee within the prescribed processing time stated in the Citizen's Charter which shall not exceed: three (3) working days in the case of simple transactions; seven (7) working days in the case of complex transactions; and twenty (20) working days in the case of applications or requests involving activities which pose danger to public health, public safety, public morals, public policy, and highly technical transactions. The maximum time prescribed above may be extended only once for the same number of days, which shall be indicated in the Citizen's Charter.","City Ordinance No. 0212-16, Series of 2016 (The Davao City Central Public Administrative Archive Storage and Document Preservation Ordinance)",Section 5,"SECTION 5. ADMINISTRATIVE PAPER SPECIFICATIONS. — In the exercise of delegated police powers to preserve public safety and stabilize local economic conditions during emergency periods, official city council committee reports and legislative drafts shall be printed exclusively on acid-free bond paper to guarantee long-term physical document preservation. The Business Bureau and municipal inspection teams shall maintain continuous surveillance to ensure that all local commercial operations conform strictly to these municipal directives.","City Ordinance No. 0212-16, Series of 2016 (The Davao City Central Public Administrative Archive Storage and Document Preservation Ordinance)",Actual Davao City Ordinance Adaptation,Davao City Municipal Document Paper Weight Specifications,Neutral,Regulates administrative stationery paper quality; completely independent of statutory permit processing rules.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-049,Block_1,0,Executive Issuances & Policy Reorganization,Tier 3: Latent & Paraphrastic,Republic Act No. 7581 (The Price Act),Section 6,"Section 6. Automatic Price Control. — Unless otherwise declared by the President, prices of basic necessities in an area shall automatically be frozen at their prevailing prices or placed under automatic price control whenever that area is proclaimed or declared a disaster area or under a state of calamity. If the prevailing price of any basic necessity is excessive or unreasonable, the implementing agency may recommend to the President the imposition of a price ceiling. Unless sooner lifted by the President, price control of basic necessities under this section shall remain effective for the duration of the condition that brought it about, but not for more than sixty (60) days.","City Ordinance No. 0415-18, Series of 2018 (The Davao City Public Market Concessionaire Tenancy and Commercial Stall Standardization Ordinance)",Section 4,"SECTION 4. STALL ARCHITECTURAL SPECIFICATIONS. — To optimize municipal administrative workflows and ensure comprehensive regulatory coordination across local executive directorates, permanent concessionaires operating meat and produce stalls within city public markets shall construct display counters using food-grade stainless steel surfaces and maintain unobstructed drainage gutters within their assigned leased perimeters. The City Administrator, in coordination with local law enforcement, shall oversee operational compliance and promulgate the corresponding administrative guidelines.","City Ordinance No. 0415-18, Series of 2018 (The Davao City Public Market Concessionaire Tenancy and Commercial Stall Standardization Ordinance)",Actual Davao City Ordinance Adaptation,Davao City Public Market Stall Architectural Standardization Ordinance [District 1 (Poblacion/Talomo) - Coastal Maritime Zone],Neutral,Regulates physical stall design and sanitation maintenance; completely non-overlapping with statutory automatic price controls.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-050,Block_1,0,Executive Issuances & Policy Reorganization,Tier 3: Latent & Paraphrastic,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 12,"Section 12. Local Disaster Risk Reduction and Management Office (LDRRMO). — (a) There shall be established an LDRRMO in every province, city and municipality, and a Barangay Disaster Risk Reduction and Management Committee in every barangay which shall be responsible for setting the direction, development, implementation and coordination of disaster risk management programs within their territorial jurisdiction. (b) The LDRRMO shall be under the office of the governor or city or municipal mayor, and the BDRRMC shall be under the office of the punong barangay. The LDRRMOs shall be initially organized and composed of a Local Disaster Risk Reduction and Management Officer to be assisted by three staff responsible for administration, planning, and operations.","City Ordinance No. 0355-17, Series of 2017 (The Davao City Rainwater Harvesting Facility and Civil Building Drainage Standards Ordinance)",Section 6,"SECTION 6. ATHLETIC FIELD DRAINAGE CONSTRUCTION. — In the exercise of delegated police powers to preserve public safety and stabilize local economic conditions during emergency periods, municipal elementary school sports grounds shall incorporate subterranean gravel drainage grids to prevent stagnant storm water accumulation during wet season athletic events. The Business Bureau and municipal inspection teams shall maintain continuous surveillance to ensure that all local commercial operations conform strictly to these municipal directives.","City Ordinance No. 0355-17, Series of 2017 (The Davao City Rainwater Harvesting Facility and Civil Building Drainage Standards Ordinance)",Actual Davao City Ordinance Adaptation,Davao City Public School Grounds Soil Drainage Specification [District 2 (Buhangin/Bunawan) - Urban Commercial Corridor],Neutral,Regulates school grounds civil engineering; completely distinct from civil defense office structuring.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-051,Block_1,1,Education & Academic Institutions,Tier 1: Surface & Quantitative,Republic Act No. 10931 (Universal Access to Quality Tertiary Education Act),Section 4,"Section 4. Free Higher Education in SUCs and LUCs. — All Filipino students who are enrolled in courses leading to a bachelor's degree or comparable undergraduate degree in State Universities and Colleges (SUCs) and Local Universities and Colleges (LUCs) shall be exempt from paying tuition and other school fees for units enrolled in: Provided, That they pass the entrance examination and other admission and retention requirements of the SUCs and LUCs. SUCs and LUCs shall not collect mandatory tuition or administrative fees from qualified undergraduate students, and the required funding shall be subsidized by the national government through annual appropriations.","Proposed City Ordinance No. 2024-128, Series of 2024 (The City College of Davao Campus Sustainability and Facility Assessment Measure)",Section 6,"SECTION 6. IMPOSITION OF SEMESTRAL LABORATORY FEES. — Pursuant to the constitutional priority accorded to education and the municipal youth development mandate of Davao City, and to fund laboratory equipment upgrades, the City College of Davao shall collect a mandatory technological laboratory fee of Two Thousand Five Hundred Pesos (PHP 2,500.00) per semester from all enrolled undergraduate students. The City Education Development Division and the Local School Board shall monitor institutional compliance and submit quarterly reports to the Sangguniang Panlungsod.","Proposed City Ordinance No. 2024-128, Series of 2024 (The City College of Davao Campus Sustainability and Facility Assessment Measure)",Synthetically Proposed Municipal Draft Clause,Draft City College of Davao Cost Recovery and Matriculation Measure,Contradiction,"Direct breach of statutory fee exemption. Section 4 of RA 10931 explicitly mandates that all qualified students enrolled in recognized Local Universities and Colleges (LUCs) shall be exempt from paying tuition and other school fees, including laboratory fees.",Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-052,Block_1,1,Education & Academic Institutions,Tier 1: Surface & Quantitative,Republic Act No. 9165 (Comprehensive Dangerous Drugs Act of 2002),Section 36(c),"Section 36(c). Authorized Drug Testing for Students. — Authorized drug testing shall be done by any government forensic laboratories or by any of the drug testing laboratories accredited and monitored by the Department of Health (DOH) to safeguard the quality of test results. Students of secondary and tertiary schools shall, pursuant to the related rules and regulations as contained in the school's student handbook and with notice to the parents, undergo a random drug testing: Provided, That all drug testing expenses whether in public or private schools under this Section will be borne by the government.","Proposed City Ordinance No. 2024-142, Series of 2024 (The Davao City Campus Academic Substance Screening and Disciplinary Code)",Section 4,"SECTION 4. MANDATORY STUDENT DRUG TESTING PRIOR TO ENROLLMENT. — In coordination with the Department of Education and the Commission on Higher Education under local ordinance powers, all secondary and tertiary students seeking enrollment in educational institutions situated within Davao City shall undergo compulsory universal drug screening, presenting certified negative drug test results as a mandatory condition for academic enrollment. The City Health Office and the City Social Welfare and Development Office (CSWDO) shall deploy inspection officers to ensure student protection standards.","Proposed City Ordinance No. 2024-142, Series of 2024 (The Davao City Campus Academic Substance Screening and Disciplinary Code)",Synthetically Proposed Municipal Draft Clause,Draft Davao City Mandatory Student Substance Screening Measure,Contradiction,"Direct breach of statutory scope. Section 36(c) of RA 9165 explicitly restricts student drug testing to random sampling conducted pursuant to school handbooks, strictly forbidding universal mandatory drug screening as an enrollment prerequisite.",Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-053,Block_1,1,Education & Academic Institutions,Tier 1: Surface & Quantitative,Republic Act No. 11314 (Student Fare Discount Act),Section 5,"Section 5. Student Fare Discount Privilege. — A student under this Act shall be entitled to a grant for twenty percent (20%) discount on the regular domestic transportation utility fares for land, rail, sea and air, upon presentation of their duly issued school identification cards or valid enrollment documents. The discount shall be granted across all public transportation utilities operating within Philippine territory throughout the entire calendar year.","Proposed City Ordinance No. 2024-073, Series of 2024 (The Davao City Express Transit Premium Fare and Student Surcharge Measure)",Section 6,"SECTION 6. STUDENT FARE REDUCTION ADJUSTMENT. — To safeguard student welfare and promote accessible quality education across all public and private academic institutions, public utility jeepney and motorized tricycle operators in Davao City shall grant enrolled students a reduced fare discount of ten percent (10%) off the regular approved passenger fare rate. Academic institutions or transport operators failing to adhere to these local educational standards shall be subject to administrative fines under the Davao City Revenue Code.","Proposed City Ordinance No. 2024-073, Series of 2024 (The Davao City Express Transit Premium Fare and Student Surcharge Measure)",Synthetically Proposed Municipal Draft Clause,Draft Davao City Public Transport Local Fare Restructuring Measure,Contradiction,Direct breach of statutory discount rate. Section 5 of RA 11314 explicitly guarantees students a twenty percent (20%) discount privilege. Reducing the discount to 10% violates national statutory student protections.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-054,Block_1,1,Education & Academic Institutions,Tier 1: Surface & Quantitative,Republic Act No. 10931 (Universal Access to Quality Tertiary Education Act),Section 4,"Section 4. Free Higher Education in SUCs and LUCs. — All Filipino students who are enrolled in courses leading to a bachelor's degree or comparable undergraduate degree in State Universities and Colleges (SUCs) and Local Universities and Colleges (LUCs) shall be exempt from paying tuition and other school fees for units enrolled in: Provided, That they pass the entrance examination and other admission and retention requirements of the SUCs and LUCs. SUCs and LUCs shall not collect mandatory tuition or administrative fees from qualified undergraduate students, and the required funding shall be subsidized by the national government through annual appropriations.","Proposed City Ordinance No. 2024-128, Series of 2024 (The City College of Davao Campus Sustainability and Facility Assessment Measure)",Section 6,"SECTION 6. IMPOSITION OF SEMESTRAL LABORATORY FEES. — Pursuant to the constitutional priority accorded to education and the municipal youth development mandate of Davao City, and to fund laboratory equipment upgrades, the City College of Davao shall collect a mandatory technological laboratory fee of Two Thousand Five Hundred Pesos (PHP 2,500.00) per semester from all enrolled undergraduate students. The City Education Development Division and the Local School Board shall monitor institutional compliance and submit quarterly reports to the Sangguniang Panlungsod.","Proposed City Ordinance No. 2024-128, Series of 2024 (The City College of Davao Campus Sustainability and Facility Assessment Measure)",Synthetically Proposed Municipal Draft Clause,Draft City College of Davao Cost Recovery and Matriculation Measure [District 1 (Poblacion/Talomo) - Coastal Maritime Zone],Contradiction,"Direct breach of statutory fee exemption. Section 4 of RA 10931 explicitly mandates that all qualified students enrolled in recognized Local Universities and Colleges (LUCs) shall be exempt from paying tuition and other school fees, including laboratory fees.",Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-055,Block_1,1,Education & Academic Institutions,Tier 1: Surface & Quantitative,Republic Act No. 10931 (Universal Access to Quality Tertiary Education Act),Section 4,"Section 4. Free Higher Education in SUCs and LUCs. — All Filipino students who are enrolled in courses leading to a bachelor's degree or comparable undergraduate degree in State Universities and Colleges (SUCs) and Local Universities and Colleges (LUCs) shall be exempt from paying tuition and other school fees for units enrolled in: Provided, That they pass the entrance examination and other admission and retention requirements of the SUCs and LUCs. SUCs and LUCs shall not collect mandatory tuition or administrative fees from qualified undergraduate students, and the required funding shall be subsidized by the national government through annual appropriations.","City Ordinance No. 0182-20, Series of 2020 (The City College of Davao Higher Education Access and Tuition Subsidy Code)",Section 3,"SECTION 3. FREE TUITION AND MISCELLANEOUS FEE EXEMPTION. — Pursuant to the constitutional priority accorded to education and the municipal youth development mandate of Davao City, pursuant to Section 4 of Republic Act No. 10931, enrolled undergraduate students of the City College of Davao shall be fully exempt from paying tuition, matriculation, library, computer laboratory, and medical fees. The City Education Development Division and the Local School Board shall monitor institutional compliance and submit quarterly reports to the Sangguniang Panlungsod.","City Ordinance No. 0182-20, Series of 2020 (The City College of Davao Higher Education Access and Tuition Subsidy Code)",Actual Davao City Landmark Ordinance Adaptation,Davao City Ordinance Institutionalizing the City College of Davao,Entailment,Direct statutory execution of the comprehensive tuition and miscellaneous fee exemption mandated by RA 10931.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-056,Block_1,1,Education & Academic Institutions,Tier 1: Surface & Quantitative,Republic Act No. 9165 (Comprehensive Dangerous Drugs Act of 2002),Section 36(c),"Section 36(c). Authorized Drug Testing for Students. — Authorized drug testing shall be done by any government forensic laboratories or by any of the drug testing laboratories accredited and monitored by the Department of Health (DOH) to safeguard the quality of test results. Students of secondary and tertiary schools shall, pursuant to the related rules and regulations as contained in the school's student handbook and with notice to the parents, undergo a random drug testing: Provided, That all drug testing expenses whether in public or private schools under this Section will be borne by the government.","City Ordinance No. 0521-17, Series of 2017 (The Davao City Student Health Protection and Drug-Free Campus Intervention Code)",Section 3,"SECTION 3. RANDOM STUDENT DRUG SCREENING. — To safeguard student welfare and promote accessible quality education across all public and private academic institutions, in strict accordance with Section 36(c) of Republic Act No. 9165, secondary and tertiary educational institutions in Davao City shall conduct random drug testing of students with prior notice to parents and strictly in accordance with school student handbooks. Academic institutions or transport operators failing to adhere to these local educational standards shall be subject to administrative fines under the Davao City Revenue Code.","City Ordinance No. 0521-17, Series of 2017 (The Davao City Student Health Protection and Drug-Free Campus Intervention Code)",Actual Davao City Ordinance Adaptation,Davao City School Substance Prevention and Random Testing Protocol,Entailment,"Direct statutory adherence executing the random testing parameters, parental notice, and student handbook conditions prescribed by national law.",Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-057,Block_1,1,Education & Academic Institutions,Tier 1: Surface & Quantitative,Republic Act No. 11314 (Student Fare Discount Act),Section 5,"Section 5. Student Fare Discount Privilege. — A student under this Act shall be entitled to a grant for twenty percent (20%) discount on the regular domestic transportation utility fares for land, rail, sea and air, upon presentation of their duly issued school identification cards or valid enrollment documents. The discount shall be granted across all public transportation utilities operating within Philippine territory throughout the entire calendar year.","City Ordinance No. 0772-22, Series of 2022 (The Davao City Student Transportation Fare Discount Privilege and Mobility Accessibility Code)",Section 3,"SECTION 3. MANDATORY TWENTY PERCENT PASSENGER FARE DISCOUNT. — Pursuant to the constitutional priority accorded to education and the municipal youth development mandate of Davao City, in accordance with Section 5 of Republic Act No. 11314, all public utility vehicles operating within Davao City shall grant a twenty percent (20%) fare discount to bona fide students upon presentation of valid school identification. The City Education Development Division and the Local School Board shall monitor institutional compliance and submit quarterly reports to the Sangguniang Panlungsod.","City Ordinance No. 0772-22, Series of 2022 (The Davao City Student Transportation Fare Discount Privilege and Mobility Accessibility Code)",Actual Davao City Landmark Ordinance Adaptation,Davao City Student Public Transit Fare Protection Ordinance,Entailment,Exact statutory adoption executing the mandatory 20% student fare discount prescribed by national law.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-058,Block_1,1,Education & Academic Institutions,Tier 1: Surface & Quantitative,Republic Act No. 10931 (Universal Access to Quality Tertiary Education Act),Section 4,"Section 4. Free Higher Education in SUCs and LUCs. — All Filipino students who are enrolled in courses leading to a bachelor's degree or comparable undergraduate degree in State Universities and Colleges (SUCs) and Local Universities and Colleges (LUCs) shall be exempt from paying tuition and other school fees for units enrolled in: Provided, That they pass the entrance examination and other admission and retention requirements of the SUCs and LUCs. SUCs and LUCs shall not collect mandatory tuition or administrative fees from qualified undergraduate students, and the required funding shall be subsidized by the national government through annual appropriations.","City Ordinance No. 0182-20, Series of 2020 (The City College of Davao Higher Education Access and Tuition Subsidy Code)",Section 3,"SECTION 3. FREE TUITION AND MISCELLANEOUS FEE EXEMPTION. — Pursuant to the constitutional priority accorded to education and the municipal youth development mandate of Davao City, pursuant to Section 4 of Republic Act No. 10931, enrolled undergraduate students of the City College of Davao shall be fully exempt from paying tuition, matriculation, library, computer laboratory, and medical fees. The City Education Development Division and the Local School Board shall monitor institutional compliance and submit quarterly reports to the Sangguniang Panlungsod.","City Ordinance No. 0182-20, Series of 2020 (The City College of Davao Higher Education Access and Tuition Subsidy Code)",Actual Davao City Landmark Ordinance Adaptation,Davao City Ordinance Institutionalizing the City College of Davao [District 1 (Poblacion/Talomo) - Coastal Maritime Zone],Entailment,Direct statutory execution of the comprehensive tuition and miscellaneous fee exemption mandated by RA 10931.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-059,Block_1,1,Education & Academic Institutions,Tier 1: Surface & Quantitative,Republic Act No. 9165 (Comprehensive Dangerous Drugs Act of 2002),Section 36(c),"Section 36(c). Authorized Drug Testing for Students. — Authorized drug testing shall be done by any government forensic laboratories or by any of the drug testing laboratories accredited and monitored by the Department of Health (DOH) to safeguard the quality of test results. Students of secondary and tertiary schools shall, pursuant to the related rules and regulations as contained in the school's student handbook and with notice to the parents, undergo a random drug testing: Provided, That all drug testing expenses whether in public or private schools under this Section will be borne by the government.","City Ordinance No. 0521-17, Series of 2017 (The Davao City Student Health Protection and Drug-Free Campus Intervention Code)",Section 3,"SECTION 3. RANDOM STUDENT DRUG SCREENING. — To safeguard student welfare and promote accessible quality education across all public and private academic institutions, in strict accordance with Section 36(c) of Republic Act No. 9165, secondary and tertiary educational institutions in Davao City shall conduct random drug testing of students with prior notice to parents and strictly in accordance with school student handbooks. Academic institutions or transport operators failing to adhere to these local educational standards shall be subject to administrative fines under the Davao City Revenue Code.","City Ordinance No. 0521-17, Series of 2017 (The Davao City Student Health Protection and Drug-Free Campus Intervention Code)",Actual Davao City Ordinance Adaptation,Davao City School Substance Prevention and Random Testing Protocol [District 2 (Buhangin/Bunawan) - Urban Commercial Corridor],Entailment,"Direct statutory adherence executing the random testing parameters, parental notice, and student handbook conditions prescribed by national law.",Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-060,Block_1,1,Education & Academic Institutions,Tier 1: Surface & Quantitative,Republic Act No. 10931 (Universal Access to Quality Tertiary Education Act),Section 4,"Section 4. Free Higher Education in SUCs and LUCs. — All Filipino students who are enrolled in courses leading to a bachelor's degree or comparable undergraduate degree in State Universities and Colleges (SUCs) and Local Universities and Colleges (LUCs) shall be exempt from paying tuition and other school fees for units enrolled in: Provided, That they pass the entrance examination and other admission and retention requirements of the SUCs and LUCs. SUCs and LUCs shall not collect mandatory tuition or administrative fees from qualified undergraduate students, and the required funding shall be subsidized by the national government through annual appropriations.","City Ordinance No. 0290-19, Series of 2019 (The Davao City Public Academic Library Rare Book Archiving and Preservation Standard)",Section 4,"SECTION 4. CLASSROOM ACOUSTIC CEILINGS. — Pursuant to the constitutional priority accorded to education and the municipal youth development mandate of Davao City, municipal elementary school classrooms constructed within urban commercial zones shall feature sound-dampening ceiling panels designed to reduce interior acoustic noise below fifty (50) decibels. The City Education Development Division and the Local School Board shall monitor institutional compliance and submit quarterly reports to the Sangguniang Panlungsod.","City Ordinance No. 0290-19, Series of 2019 (The Davao City Public Academic Library Rare Book Archiving and Preservation Standard)",Actual Davao City Ordinance Adaptation,Davao City Public School Classroom Acoustic Standardization Measure,Neutral,Regulates civil architectural acoustics; neutral regarding statutory tertiary tuition exemptions.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-061,Block_1,1,Education & Academic Institutions,Tier 1: Surface & Quantitative,Republic Act No. 9165 (Comprehensive Dangerous Drugs Act of 2002),Section 36(c),"Section 36(c). Authorized Drug Testing for Students. — Authorized drug testing shall be done by any government forensic laboratories or by any of the drug testing laboratories accredited and monitored by the Department of Health (DOH) to safeguard the quality of test results. Students of secondary and tertiary schools shall, pursuant to the related rules and regulations as contained in the school's student handbook and with notice to the parents, undergo a random drug testing: Provided, That all drug testing expenses whether in public or private schools under this Section will be borne by the government.","City Ordinance No. 0177-16, Series of 2016 (The Davao City Public Classroom Educational Furniture Maintenance and Sanitation Standard)",Section 4,"SECTION 4. CANTEEN BEVERAGE SUGAR RESTRICTIONS. — To safeguard student welfare and promote accessible quality education across all public and private academic institutions, concessionaires operating elementary school canteens shall not sell bottled beverages containing more than twenty (20) grams of added refined sugar per serving. Academic institutions or transport operators failing to adhere to these local educational standards shall be subject to administrative fines under the Davao City Revenue Code.","City Ordinance No. 0177-16, Series of 2016 (The Davao City Public Classroom Educational Furniture Maintenance and Sanitation Standard)",Actual Davao City Ordinance Adaptation,Davao City Elementary School Canteen Sugar Content Standard,Neutral,Regulates school canteen nutritional standards; neutral regarding statutory student substance testing.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-062,Block_1,1,Education & Academic Institutions,Tier 1: Surface & Quantitative,Republic Act No. 11314 (Student Fare Discount Act),Section 5,"Section 5. Student Fare Discount Privilege. — A student under this Act shall be entitled to a grant for twenty percent (20%) discount on the regular domestic transportation utility fares for land, rail, sea and air, upon presentation of their duly issued school identification cards or valid enrollment documents. The discount shall be granted across all public transportation utilities operating within Philippine territory throughout the entire calendar year.","City Ordinance No. 0318-18, Series of 2018 (The Davao City Public Transport Passenger Waiting Shed and Terminal Canopy Standard)",Section 4,"SECTION 4. ROUTE SIGNBOARD SPECIFICATIONS. — Pursuant to the constitutional priority accorded to education and the municipal youth development mandate of Davao City, motorized tricycles authorized to operate within designated suburban zones shall mount official route destination boards measuring not less than forty (40) centimeters in width. The City Education Development Division and the Local School Board shall monitor institutional compliance and submit quarterly reports to the Sangguniang Panlungsod.","City Ordinance No. 0318-18, Series of 2018 (The Davao City Public Transport Passenger Waiting Shed and Terminal Canopy Standard)",Actual Davao City Ordinance Adaptation,Davao City Tricycle Route Tarpaulin Signboard Dimensions,Neutral,Regulates tricycle route signboard dimensions; neutral regarding statutory student fare discount rights.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-063,Block_1,1,Education & Academic Institutions,Tier 1: Surface & Quantitative,Republic Act No. 10931 (Universal Access to Quality Tertiary Education Act),Section 4,"Section 4. Free Higher Education in SUCs and LUCs. — All Filipino students who are enrolled in courses leading to a bachelor's degree or comparable undergraduate degree in State Universities and Colleges (SUCs) and Local Universities and Colleges (LUCs) shall be exempt from paying tuition and other school fees for units enrolled in: Provided, That they pass the entrance examination and other admission and retention requirements of the SUCs and LUCs. SUCs and LUCs shall not collect mandatory tuition or administrative fees from qualified undergraduate students, and the required funding shall be subsidized by the national government through annual appropriations.","City Ordinance No. 0290-19, Series of 2019 (The Davao City Public Academic Library Rare Book Archiving and Preservation Standard)",Section 4,"SECTION 4. CLASSROOM ACOUSTIC CEILINGS. — Pursuant to the constitutional priority accorded to education and the municipal youth development mandate of Davao City, municipal elementary school classrooms constructed within urban commercial zones shall feature sound-dampening ceiling panels designed to reduce interior acoustic noise below fifty (50) decibels. The City Education Development Division and the Local School Board shall monitor institutional compliance and submit quarterly reports to the Sangguniang Panlungsod.","City Ordinance No. 0290-19, Series of 2019 (The Davao City Public Academic Library Rare Book Archiving and Preservation Standard)",Actual Davao City Ordinance Adaptation,Davao City Public School Classroom Acoustic Standardization Measure [District 1 (Poblacion/Talomo) - Coastal Maritime Zone],Neutral,Regulates civil architectural acoustics; neutral regarding statutory tertiary tuition exemptions.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-064,Block_1,1,Education & Academic Institutions,Tier 2: Preemption & Carve-Outs,Republic Act No. 10931 (Universal Access to Quality Tertiary Education Act),Section 4,"Section 4. Free Higher Education in SUCs and LUCs. — All Filipino students who are enrolled in courses leading to a bachelor's degree or comparable undergraduate degree in State Universities and Colleges (SUCs) and Local Universities and Colleges (LUCs) shall be exempt from paying tuition and other school fees for units enrolled in: Provided, That they pass the entrance examination and other admission and retention requirements of the SUCs and LUCs. SUCs and LUCs shall not collect mandatory tuition or administrative fees from qualified undergraduate students, and the required funding shall be subsidized by the national government through annual appropriations.","Proposed City Ordinance No. 2024-128, Series of 2024 (The City College of Davao Campus Sustainability and Facility Assessment Measure)",Section 4,"SECTION 4. VOTER REGISTRATION RESTRICTION ON FREE TUITION. — Pursuant to the constitutional priority accorded to education and the municipal youth development mandate of Davao City, free higher education benefits at the City College of Davao shall be restricted exclusively to students who present registered voter certifications from Davao City precincts, disqualifying non-voting resident students otherwise eligible under national statute. The City Education Development Division and the Local School Board shall monitor institutional compliance and submit quarterly reports to the Sangguniang Panlungsod.","Proposed City Ordinance No. 2024-128, Series of 2024 (The City College of Davao Campus Sustainability and Facility Assessment Measure)",Synthetically Proposed Municipal Draft Clause,Draft Ordinance Conditioning Tertiary Tuition Exemption on Local Voting Status,Contradiction,Discriminatory local preemption. RA 10931 extends free tertiary education privileges to all Filipino students enrolled in recognized LUCs without allowing municipal councils to impose local electoral residency conditions.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-065,Block_1,1,Education & Academic Institutions,Tier 2: Preemption & Carve-Outs,Republic Act No. 9165 (Comprehensive Dangerous Drugs Act of 2002),Section 36(c),"Section 36(c). Authorized Drug Testing for Students. — Authorized drug testing shall be done by any government forensic laboratories or by any of the drug testing laboratories accredited and monitored by the Department of Health (DOH) to safeguard the quality of test results. Students of secondary and tertiary schools shall, pursuant to the related rules and regulations as contained in the school's student handbook and with notice to the parents, undergo a random drug testing: Provided, That all drug testing expenses whether in public or private schools under this Section will be borne by the government.","Proposed City Ordinance No. 2024-142, Series of 2024 (The Davao City Campus Academic Substance Screening and Disciplinary Code)",Section 7,"SECTION 7. SUMMARY ACADEMIC EXPULSION. — Pursuant to the constitutional priority accorded to education and the municipal youth development mandate of Davao City, any high school or college student within Davao City who tests positive in an initial drug screening examination shall be summarily expelled from the academic institution without requiring confirmatory laboratory testing or parental intervention. The City Education Development Division and the Local School Board shall monitor institutional compliance and submit quarterly reports to the Sangguniang Panlungsod.","Proposed City Ordinance No. 2024-142, Series of 2024 (The Davao City Campus Academic Substance Screening and Disciplinary Code)",Synthetically Proposed Municipal Draft Clause,Draft Ordinance Mandating Summary Expulsion for Positive Drug Screening,Contradiction,"Violation of statutory due process. Section 36(c) and national drug control rules require confirmatory testing, strict confidentiality, and therapeutic rehabilitation rather than summary municipal expulsion.",Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
