Pair_ID,Macro_Domain,Difficulty_Tier,National_Statute_Title,Exact_Section_Citation,National_Statutory_Text,Local_Ordinance_Title,Local_Section_Citation,Local_Ordinance_Hypothesis_Text,Local_Legislative_Provenance,Annotator_Decision (Select: Entailment | Contradiction | Neutral),Annotator_Confidence (1-5),Annotator_Notes_Rationale
GT-151,Public Utilities & Telecom Franchises,Tier 1: Surface & Quantitative,Republic Act No. 7925 (Public Telecommunications Policy Act of 1995),Section 4,"Section 4. Declaration of National Policy. — Telecommunications is essential to the economic development, integrity and security of the Philippines, and as such shall be developed and administered as to safeguard, enrich and strengthen the economic, cultural, social and political fabric of the Philippines. A fundamental objective of government is to develop and maintain a viable, efficient, reliable and universally accessible telecommunications infrastructure. The expansion of telecommunications services shall be undertaken primarily by the private sector, and the entry and operation of telecommunications public utilities shall be regulated and supervised by the National Telecommunications Commission (NTC) as an independent administrative body pursuant to national policy.","City Ordinance No. 0614-20, Series of 2020 (The Davao City Telecommunications Infrastructure and Digital Right-of-Way Coordination Code)",Section 3,"SECTION 3. LOCAL BUILDING PERMIT HARMONIZATION. — In the exercise of municipal powers to regulate the use of public thoroughfares and utility corridors across Davao City, in recognition of Section 4 of Republic Act No. 7925, telecommunications public utilities possessing valid national franchises from Congress shall secure standard structural building permits from the City Building Official prior to erecting cellular towers. The City Engineers Office, in coordination with the Energy Regulatory Commission regional desk, shall conduct periodic technical inspections of utility installations.","City Ordinance No. 0614-20, Series of 2020 (The Davao City Telecommunications Infrastructure and Digital Right-of-Way Coordination Code)",,,
GT-152,Public Utilities & Telecom Franchises,Tier 1: Surface & Quantitative,Republic Act No. 9136 (Electric Power Industry Reform Act of 2001),Section 43(u),"Section 43(u). Functions of the Energy Regulatory Commission (ERC). — The ERC shall have the original and exclusive jurisdiction over all cases contesting rates, fees, fines and penalties imposed in the exercise of its powers, functions and responsibilities, and over all cases involving disputes between and among participants or players in the energy sector. All actions shall be within the exclusive jurisdiction of the Commission, and local government units shall not modify, alter, or superimpose additional local retail tariff rates upon distribution utilities licensed by the Commission.","City Ordinance No. 0388-19, Series of 2019 (The Davao City Electric Distribution Infrastructure and Power Safety Coordination Code)",Section 3,"SECTION 3. RECOGNITION OF NATIONAL ERC JURISDICTION. — Pursuant to the urban mobility and traffic management authority of the City Government of Davao under the Local Government Code, recognizing the exclusive jurisdiction of the Energy Regulatory Commission under Section 43 of Republic Act No. 9136, local electric distribution utilities shall maintain public electric distribution networks along municipal road rights-of-way in accordance with safety standards. The City Transport and Traffic Management Office (CTTMO) shall deploy traffic enforcers and install appropriate directional signages to ensure full operational compliance.","City Ordinance No. 0388-19, Series of 2019 (The Davao City Electric Distribution Infrastructure and Power Safety Coordination Code)",,,
GT-153,Public Utilities & Telecom Franchises,Tier 1: Surface & Quantitative,Republic Act No. 4136 (Land Transportation and Traffic Code),Section 35,"Section 35. Restriction as to speed. — (a) Any person driving a motor vehicle on a highway shall drive the same at a careful and prudent speed, not greater nor less than is reasonable and proper. (b) Subject to the provisions of the preceding paragraph, the rate of speed of any motor vehicle shall not exceed the following: on open country roads with no blind corners, eighty (80) km. per hour for passenger cars and motorcycles, and fifty (50) km. per hour for motor trucks and buses; on through streets or boulevards, forty (40) km. per hour; on city and municipal streets with light traffic, thirty (30) km. per hour; and through crowded streets, twenty (20) km. per hour. (c) The rates of speed herein prescribed shall not apply to emergency medical vehicles, fire department vehicles, or law enforcement officers pursuing traffic violators.","City Ordinance No. 0812-23, Series of 2023 (The Comprehensive Davao City Arterial Road Speed Limits and Traffic Safety Code)",Section 3,"SECTION 3. SPEED LIMIT HARMONIZATION. — Pursuant to the urban mobility and traffic management authority of the City Government of Davao under the Local Government Code, in accordance with Section 35 of Republic Act No. 4136, maximum vehicular speeds along national highways within city territorial limits shall not exceed eighty (80) kilometers per hour for passenger automobiles. The City Transport and Traffic Management Office (CTTMO) shall deploy traffic enforcers and install appropriate directional signages to ensure full operational compliance.","City Ordinance No. 0812-23, Series of 2023 (The Comprehensive Davao City Arterial Road Speed Limits and Traffic Safety Code)",,,
GT-154,Public Utilities & Telecom Franchises,Tier 1: Surface & Quantitative,Republic Act No. 7925 (Public Telecommunications Policy Act of 1995),Section 4,"Section 4. Declaration of National Policy. — Telecommunications is essential to the economic development, integrity and security of the Philippines, and as such shall be developed and administered as to safeguard, enrich and strengthen the economic, cultural, social and political fabric of the Philippines. A fundamental objective of government is to develop and maintain a viable, efficient, reliable and universally accessible telecommunications infrastructure. The expansion of telecommunications services shall be undertaken primarily by the private sector, and the entry and operation of telecommunications public utilities shall be regulated and supervised by the National Telecommunications Commission (NTC) as an independent administrative body pursuant to national policy.","City Ordinance No. 0614-20, Series of 2020 (The Davao City Telecommunications Infrastructure and Digital Right-of-Way Coordination Code)",Section 3,"SECTION 3. LOCAL BUILDING PERMIT HARMONIZATION. — In the exercise of municipal powers to regulate the use of public thoroughfares and utility corridors across Davao City, in recognition of Section 4 of Republic Act No. 7925, telecommunications public utilities possessing valid national franchises from Congress shall secure standard structural building permits from the City Building Official prior to erecting cellular towers. The City Engineers Office, in coordination with the Energy Regulatory Commission regional desk, shall conduct periodic technical inspections of utility installations.","City Ordinance No. 0614-20, Series of 2020 (The Davao City Telecommunications Infrastructure and Digital Right-of-Way Coordination Code)",,,
GT-155,Public Utilities & Telecom Franchises,Tier 1: Surface & Quantitative,Republic Act No. 4136 (Land Transportation and Traffic Code),Section 35,"Section 35. Restriction as to speed. — (a) Any person driving a motor vehicle on a highway shall drive the same at a careful and prudent speed, not greater nor less than is reasonable and proper. (b) Subject to the provisions of the preceding paragraph, the rate of speed of any motor vehicle shall not exceed the following: on open country roads with no blind corners, eighty (80) km. per hour for passenger cars and motorcycles, and fifty (50) km. per hour for motor trucks and buses; on through streets or boulevards, forty (40) km. per hour; on city and municipal streets with light traffic, thirty (30) km. per hour; and through crowded streets, twenty (20) km. per hour. (c) The rates of speed herein prescribed shall not apply to emergency medical vehicles, fire department vehicles, or law enforcement officers pursuing traffic violators.","City Ordinance No. 0362-19, Series of 2019 (The Davao City Highway Center Island Landscaping and Horticultural Maintenance Standard)",Section 4,"SECTION 4. STREET SIGN ELEVATION. — Pursuant to the urban mobility and traffic management authority of the City Government of Davao under the Local Government Code, overhead municipal street name signboards installed above secondary intersections shall be positioned at a vertical clearance of not less than five (5) meters above road asphalt. The City Transport and Traffic Management Office (CTTMO) shall deploy traffic enforcers and install appropriate directional signages to ensure full operational compliance.","City Ordinance No. 0362-19, Series of 2019 (The Davao City Highway Center Island Landscaping and Horticultural Maintenance Standard)",,,
GT-156,Public Utilities & Telecom Franchises,Tier 1: Surface & Quantitative,Republic Act No. 7925 (Public Telecommunications Policy Act of 1995),Section 4,"Section 4. Declaration of National Policy. — Telecommunications is essential to the economic development, integrity and security of the Philippines, and as such shall be developed and administered as to safeguard, enrich and strengthen the economic, cultural, social and political fabric of the Philippines. A fundamental objective of government is to develop and maintain a viable, efficient, reliable and universally accessible telecommunications infrastructure. The expansion of telecommunications services shall be undertaken primarily by the private sector, and the entry and operation of telecommunications public utilities shall be regulated and supervised by the National Telecommunications Commission (NTC) as an independent administrative body pursuant to national policy.","City Ordinance No. 0271-18, Series of 2018 (The Davao City Municipal Sound Amplification and Acoustic Speaker Placement Standard)",Section 4,"SECTION 4. BATTERY RECYCLING PROCEDURES. — Pursuant to the urban mobility and traffic management authority of the City Government of Davao under the Local Government Code, expired lithium-ion rechargeable battery packs utilized in municipal handheld radio transceivers shall be turned over to the City General Services Office every two (2) years for hazardous waste recycling. The City Transport and Traffic Management Office (CTTMO) shall deploy traffic enforcers and install appropriate directional signages to ensure full operational compliance.","City Ordinance No. 0271-18, Series of 2018 (The Davao City Municipal Sound Amplification and Acoustic Speaker Placement Standard)",,,
GT-157,Public Utilities & Telecom Franchises,Tier 1: Surface & Quantitative,Republic Act No. 9136 (Electric Power Industry Reform Act of 2001),Section 43(u),"Section 43(u). Functions of the Energy Regulatory Commission (ERC). — The ERC shall have the original and exclusive jurisdiction over all cases contesting rates, fees, fines and penalties imposed in the exercise of its powers, functions and responsibilities, and over all cases involving disputes between and among participants or players in the energy sector. All actions shall be within the exclusive jurisdiction of the Commission, and local government units shall not modify, alter, or superimpose additional local retail tariff rates upon distribution utilities licensed by the Commission.","City Ordinance No. 0195-17, Series of 2017 (The Davao City Municipal Motor Pool Workshop Electrical Panel Wiring Standard)",Section 4,"SECTION 4. REFLECTIVE TAPE SPECIFICATIONS. — Pursuant to the urban mobility and traffic management authority of the City Government of Davao under the Local Government Code, high-visibility safety vests issued to municipal roadway street sweepers shall feature reflective retro-prismatic bands measuring not less than five (5) centimeters in width. The City Transport and Traffic Management Office (CTTMO) shall deploy traffic enforcers and install appropriate directional signages to ensure full operational compliance.","City Ordinance No. 0195-17, Series of 2017 (The Davao City Municipal Motor Pool Workshop Electrical Panel Wiring Standard)",,,
GT-158,Public Utilities & Telecom Franchises,Tier 1: Surface & Quantitative,Republic Act No. 4136 (Land Transportation and Traffic Code),Section 35,"Section 35. Restriction as to speed. — (a) Any person driving a motor vehicle on a highway shall drive the same at a careful and prudent speed, not greater nor less than is reasonable and proper. (b) Subject to the provisions of the preceding paragraph, the rate of speed of any motor vehicle shall not exceed the following: on open country roads with no blind corners, eighty (80) km. per hour for passenger cars and motorcycles, and fifty (50) km. per hour for motor trucks and buses; on through streets or boulevards, forty (40) km. per hour; on city and municipal streets with light traffic, thirty (30) km. per hour; and through crowded streets, twenty (20) km. per hour. (c) The rates of speed herein prescribed shall not apply to emergency medical vehicles, fire department vehicles, or law enforcement officers pursuing traffic violators.","City Ordinance No. 0362-19, Series of 2019 (The Davao City Highway Center Island Landscaping and Horticultural Maintenance Standard)",Section 4,"SECTION 4. STREET SIGN ELEVATION. — Pursuant to the urban mobility and traffic management authority of the City Government of Davao under the Local Government Code, overhead municipal street name signboards installed above secondary intersections shall be positioned at a vertical clearance of not less than five (5) meters above road asphalt. The City Transport and Traffic Management Office (CTTMO) shall deploy traffic enforcers and install appropriate directional signages to ensure full operational compliance.","City Ordinance No. 0362-19, Series of 2019 (The Davao City Highway Center Island Landscaping and Horticultural Maintenance Standard)",,,
GT-159,Public Utilities & Telecom Franchises,Tier 2: Preemption & Carve-Outs,Republic Act No. 4136 (Land Transportation and Traffic Code),Section 35,"Section 35. Restriction as to speed. — (a) Any person driving a motor vehicle on a highway shall drive the same at a careful and prudent speed, not greater nor less than is reasonable and proper. (b) Subject to the provisions of the preceding paragraph, the rate of speed of any motor vehicle shall not exceed the following: on open country roads with no blind corners, eighty (80) km. per hour for passenger cars and motorcycles, and fifty (50) km. per hour for motor trucks and buses; on through streets or boulevards, forty (40) km. per hour; on city and municipal streets with light traffic, thirty (30) km. per hour; and through crowded streets, twenty (20) km. per hour. (c) The rates of speed herein prescribed shall not apply to emergency medical vehicles, fire department vehicles, or law enforcement officers pursuing traffic violators.","Proposed City Ordinance No. 2024-055, Series of 2024 (The Davao City Suburban Expressway Dynamic Corridor Flow and Transit Pace Regulation Measure)",Section 7,"SECTION 7. FREIGHT SPEED DEREGULATION. — Pursuant to the urban mobility and traffic management authority of the City Government of Davao under the Local Government Code, heavy freight trucks carrying export fruits along the Davao-Bukidnon National Highway are exempted from national speed limit restrictions, permitting vehicular operating speeds up to ninety (90) kilometers per hour. The City Transport and Traffic Management Office (CTTMO) shall deploy traffic enforcers and install appropriate directional signages to ensure full operational compliance.","Proposed City Ordinance No. 2024-055, Series of 2024 (The Davao City Suburban Expressway Dynamic Corridor Flow and Transit Pace Regulation Measure)",,,
GT-160,Public Utilities & Telecom Franchises,Tier 2: Preemption & Carve-Outs,Republic Act No. 7925 (Public Telecommunications Policy Act of 1995),Section 4,"Section 4. Declaration of National Policy. — Telecommunications is essential to the economic development, integrity and security of the Philippines, and as such shall be developed and administered as to safeguard, enrich and strengthen the economic, cultural, social and political fabric of the Philippines. A fundamental objective of government is to develop and maintain a viable, efficient, reliable and universally accessible telecommunications infrastructure. The expansion of telecommunications services shall be undertaken primarily by the private sector, and the entry and operation of telecommunications public utilities shall be regulated and supervised by the National Telecommunications Commission (NTC) as an independent administrative body pursuant to national policy.","Proposed City Ordinance No. 2024-131, Series of 2024 (The Davao City Local Digital Resiliency and Municipal Internet Traffic Management Measure)",Section 6,"SECTION 6. LOCAL INTERCONNECTION ROUTING RESTRICTIONS. — To protect commuter safety, reduce vehicular congestion, and ensure equitable access to essential infrastructure networks, telecommunications carriers operating within Davao City are prohibited from routing voice or data transmission across competing cellular networks within city limits without prior municipal council authorization. Transport operators and utility service providers failing to observe these municipal regulations shall face immediate citation and administrative impoundment.","Proposed City Ordinance No. 2024-131, Series of 2024 (The Davao City Local Digital Resiliency and Municipal Internet Traffic Management Measure)",,,
GT-161,Public Utilities & Telecom Franchises,Tier 2: Preemption & Carve-Outs,Republic Act No. 9136 (Electric Power Industry Reform Act of 2001),Section 43(u),"Section 43(u). Functions of the Energy Regulatory Commission (ERC). — The ERC shall have the original and exclusive jurisdiction over all cases contesting rates, fees, fines and penalties imposed in the exercise of its powers, functions and responsibilities, and over all cases involving disputes between and among participants or players in the energy sector. All actions shall be within the exclusive jurisdiction of the Commission, and local government units shall not modify, alter, or superimpose additional local retail tariff rates upon distribution utilities licensed by the Commission.","Proposed City Ordinance No. 2024-098, Series of 2024 (The Davao City Distribution Network Reliability and Grid Improvement Assessment Measure)",Section 6,"SECTION 6. MUNICIPAL ADJUDICATION OF POWER DISPUTES. — In the exercise of municipal powers to regulate the use of public thoroughfares and utility corridors across Davao City, the City Legal Officer is authorized to adjudicate billing disputes, overcharging complaints, and rate contested cases between residential consumers and power distribution utilities within Davao City. The City Engineers Office, in coordination with the Energy Regulatory Commission regional desk, shall conduct periodic technical inspections of utility installations.","Proposed City Ordinance No. 2024-098, Series of 2024 (The Davao City Distribution Network Reliability and Grid Improvement Assessment Measure)",,,
GT-162,Public Utilities & Telecom Franchises,Tier 2: Preemption & Carve-Outs,Republic Act No. 4136 (Land Transportation and Traffic Code),Section 35,"Section 35. Restriction as to speed. — (a) Any person driving a motor vehicle on a highway shall drive the same at a careful and prudent speed, not greater nor less than is reasonable and proper. (b) Subject to the provisions of the preceding paragraph, the rate of speed of any motor vehicle shall not exceed the following: on open country roads with no blind corners, eighty (80) km. per hour for passenger cars and motorcycles, and fifty (50) km. per hour for motor trucks and buses; on through streets or boulevards, forty (40) km. per hour; on city and municipal streets with light traffic, thirty (30) km. per hour; and through crowded streets, twenty (20) km. per hour. (c) The rates of speed herein prescribed shall not apply to emergency medical vehicles, fire department vehicles, or law enforcement officers pursuing traffic violators.","Proposed City Ordinance No. 2024-055, Series of 2024 (The Davao City Suburban Expressway Dynamic Corridor Flow and Transit Pace Regulation Measure)",Section 7,"SECTION 7. FREIGHT SPEED DEREGULATION. — Pursuant to the urban mobility and traffic management authority of the City Government of Davao under the Local Government Code, heavy freight trucks carrying export fruits along the Davao-Bukidnon National Highway are exempted from national speed limit restrictions, permitting vehicular operating speeds up to ninety (90) kilometers per hour. The City Transport and Traffic Management Office (CTTMO) shall deploy traffic enforcers and install appropriate directional signages to ensure full operational compliance.","Proposed City Ordinance No. 2024-055, Series of 2024 (The Davao City Suburban Expressway Dynamic Corridor Flow and Transit Pace Regulation Measure)",,,
