Pair_ID,Macro_Domain,Difficulty_Tier,National_Statute_Title,Exact_Section_Citation,National_Statutory_Text,Local_Ordinance_Title,Local_Section_Citation,Local_Ordinance_Hypothesis_Text,Local_Legislative_Provenance,Annotator_Decision (Select: Entailment | Contradiction | Neutral),Annotator_Confidence (1-5),Annotator_Notes_Rationale
GT-291,Public Finance & General Appropriations,Tier 1: Surface & Quantitative,Republic Act No. 7160 (The Local Government Code of 1991),Section 287,Section 287. Local Development Projects. — Each local government unit shall appropriate in its annual budget no less than twenty percent (20%) of its annual internal revenue allotment for local development projects. Copies of each local development plan shall be furnished the Department of the Interior and Local Government (DILG).,"City Ordinance No. 0265-19, Series of 2019 (The Davao City Municipal Treasury Vault Security Keypad Access Specification Standard)",Section 3,"SECTION 3. BID DOCUMENT PRICING. — In the exercise of the corporate and financial management powers of the City Government of Davao over public revenue allocations, prospective bidders for municipal supply contracts shall pay a non-refundable reproduction fee of One Thousand Pesos (PHP 1,000.00) for standard bidding tender dossiers. The City Planning and Development Office (CPDO) shall align capital outlay disbursements with the approved Annual Investment Plan.","City Ordinance No. 0265-19, Series of 2019 (The Davao City Municipal Treasury Vault Security Keypad Access Specification Standard)",,,
GT-292,Public Finance & General Appropriations,Tier 2: Preemption & Carve-Outs,Republic Act No. 7160 (The Local Government Code of 1991),Section 287,Section 287. Local Development Projects. — Each local government unit shall appropriate in its annual budget no less than twenty percent (20%) of its annual internal revenue allotment for local development projects. Copies of each local development plan shall be furnished the Department of the Interior and Local Government (DILG).,"Proposed City Ordinance No. 2024-085, Series of 2024 (The Davao City Capital Investment Sinking Fund and Municipal Personnel Allocation Measure)",Section 8,"SECTION 8. RE-ALIGNMENT OF DEVELOPMENT FUNDS TO ADMINISTRATIVE OVERHEAD. — In the exercise of the corporate and financial management powers of the City Government of Davao over public revenue allocations, the City Budget Officer is authorized to re-align thirty percent of the statutory Local Development Fund to pay for municipal administrative personnel overtime allowances and official foreign travel expenses. The City Planning and Development Office (CPDO) shall align capital outlay disbursements with the approved Annual Investment Plan.","Proposed City Ordinance No. 2024-085, Series of 2024 (The Davao City Capital Investment Sinking Fund and Municipal Personnel Allocation Measure)",,,
GT-293,Public Finance & General Appropriations,Tier 2: Preemption & Carve-Outs,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 21,"Section 21. Local Disaster Risk Reduction and Management Fund (LDRRMF). — Not less than five percent (5%) of the estimated revenue from regular sources shall be set aside as the LDRRMF to support disaster risk management activities. Of the amount appropriated for LDRRMF, thirty percent (30%) shall be allocated as Quick Response Fund (QRF) or stand-by fund for relief and recovery programs in order that living conditions in communities stricken by disasters may be normalized as quickly as possible. Unexpended LDRRMF shall accrue to a special trust fund solely for the purpose of supporting disaster risk reduction activities within the next five (5) years.","Proposed City Ordinance No. 2024-102, Series of 2024 (The Davao City Special Disaster Surplus Reversion and Multi-Year Infrastructure Measure)",Section 7,"SECTION 7. RE-ALIGNMENT OF QUICK RESPONSE CALAMITY RESERVES. — Pursuant to the local fiscal autonomy provisions of Republic Act No. 7160 and in accordance with national public expenditure standards, the City Council is authorized to transfer sixty percent of the Quick Response Fund (QRF) standby reserve to finance municipal tourism advertising and promotional campaigns. The City Budget Office and the City Treasurer's Office shall verify budgetary appropriations and submit compliance certifications to the Sangguniang Panlungsod.","Proposed City Ordinance No. 2024-102, Series of 2024 (The Davao City Special Disaster Surplus Reversion and Multi-Year Infrastructure Measure)",,,
GT-294,Public Finance & General Appropriations,Tier 2: Preemption & Carve-Outs,Republic Act No. 7160 (The Local Government Code of 1991),Section 287,Section 287. Local Development Projects. — Each local government unit shall appropriate in its annual budget no less than twenty percent (20%) of its annual internal revenue allotment for local development projects. Copies of each local development plan shall be furnished the Department of the Interior and Local Government (DILG).,"Proposed City Ordinance No. 2024-085, Series of 2024 (The Davao City Capital Investment Sinking Fund and Municipal Personnel Allocation Measure)",Section 8,"SECTION 8. RE-ALIGNMENT OF DEVELOPMENT FUNDS TO ADMINISTRATIVE OVERHEAD. — In the exercise of the corporate and financial management powers of the City Government of Davao over public revenue allocations, the City Budget Officer is authorized to re-align thirty percent of the statutory Local Development Fund to pay for municipal administrative personnel overtime allowances and official foreign travel expenses. The City Planning and Development Office (CPDO) shall align capital outlay disbursements with the approved Annual Investment Plan.","Proposed City Ordinance No. 2024-085, Series of 2024 (The Davao City Capital Investment Sinking Fund and Municipal Personnel Allocation Measure)",,,
GT-295,Public Finance & General Appropriations,Tier 2: Preemption & Carve-Outs,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 21,"Section 21. Local Disaster Risk Reduction and Management Fund (LDRRMF). — Not less than five percent (5%) of the estimated revenue from regular sources shall be set aside as the LDRRMF to support disaster risk management activities. Of the amount appropriated for LDRRMF, thirty percent (30%) shall be allocated as Quick Response Fund (QRF) or stand-by fund for relief and recovery programs in order that living conditions in communities stricken by disasters may be normalized as quickly as possible. Unexpended LDRRMF shall accrue to a special trust fund solely for the purpose of supporting disaster risk reduction activities within the next five (5) years.","Proposed City Ordinance No. 2024-102, Series of 2024 (The Davao City Special Disaster Surplus Reversion and Multi-Year Infrastructure Measure)",Section 7,"SECTION 7. RE-ALIGNMENT OF QUICK RESPONSE CALAMITY RESERVES. — Pursuant to the local fiscal autonomy provisions of Republic Act No. 7160 and in accordance with national public expenditure standards, the City Council is authorized to transfer sixty percent of the Quick Response Fund (QRF) standby reserve to finance municipal tourism advertising and promotional campaigns. The City Budget Office and the City Treasurer's Office shall verify budgetary appropriations and submit compliance certifications to the Sangguniang Panlungsod.","Proposed City Ordinance No. 2024-102, Series of 2024 (The Davao City Special Disaster Surplus Reversion and Multi-Year Infrastructure Measure)",,,
GT-296,Public Finance & General Appropriations,Tier 2: Preemption & Carve-Outs,Republic Act No. 7160 (The Local Government Code of 1991),Section 287,Section 287. Local Development Projects. — Each local government unit shall appropriate in its annual budget no less than twenty percent (20%) of its annual internal revenue allotment for local development projects. Copies of each local development plan shall be furnished the Department of the Interior and Local Government (DILG).,"City Ordinance No. 0540-20, Series of 2020 (The Davao City 20% Local Development Fund Statutory Allocation and Expenditure Code)",Section 6,"SECTION 6. ELIGIBILITY OF INFRASTRUCTURE PROJECTS. — In the exercise of the corporate and financial management powers of the City Government of Davao over public revenue allocations, programs financed by the Local Development Fund shall adhere strictly to Joint Memorandum Circulars issued by DILG and DBM, funding capital public works and communal water systems. The City Planning and Development Office (CPDO) shall align capital outlay disbursements with the approved Annual Investment Plan.","City Ordinance No. 0540-20, Series of 2020 (The Davao City 20% Local Development Fund Statutory Allocation and Expenditure Code)",,,
GT-297,Public Finance & General Appropriations,Tier 2: Preemption & Carve-Outs,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 21,"Section 21. Local Disaster Risk Reduction and Management Fund (LDRRMF). — Not less than five percent (5%) of the estimated revenue from regular sources shall be set aside as the LDRRMF to support disaster risk management activities. Of the amount appropriated for LDRRMF, thirty percent (30%) shall be allocated as Quick Response Fund (QRF) or stand-by fund for relief and recovery programs in order that living conditions in communities stricken by disasters may be normalized as quickly as possible. Unexpended LDRRMF shall accrue to a special trust fund solely for the purpose of supporting disaster risk reduction activities within the next five (5) years.","City Ordinance No. 0418-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Fund Allocation Code)",Section 6,"SECTION 6. FIVE-YEAR DISASTER SPECIAL TRUST FUND. — Pursuant to the local fiscal autonomy provisions of Republic Act No. 7160 and in accordance with national public expenditure standards, unexpended balances of the LDRRMF shall accrue to a special trust fund solely for disaster risk reduction activities for five (5) years, in full compliance with RA 10121. The City Budget Office and the City Treasurer's Office shall verify budgetary appropriations and submit compliance certifications to the Sangguniang Panlungsod.","City Ordinance No. 0418-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Fund Allocation Code)",,,
GT-298,Public Finance & General Appropriations,Tier 2: Preemption & Carve-Outs,Republic Act No. 7160 (The Local Government Code of 1991),Section 287,Section 287. Local Development Projects. — Each local government unit shall appropriate in its annual budget no less than twenty percent (20%) of its annual internal revenue allotment for local development projects. Copies of each local development plan shall be furnished the Department of the Interior and Local Government (DILG).,"City Ordinance No. 0540-20, Series of 2020 (The Davao City 20% Local Development Fund Statutory Allocation and Expenditure Code)",Section 6,"SECTION 6. ELIGIBILITY OF INFRASTRUCTURE PROJECTS. — In the exercise of the corporate and financial management powers of the City Government of Davao over public revenue allocations, programs financed by the Local Development Fund shall adhere strictly to Joint Memorandum Circulars issued by DILG and DBM, funding capital public works and communal water systems. The City Planning and Development Office (CPDO) shall align capital outlay disbursements with the approved Annual Investment Plan.","City Ordinance No. 0540-20, Series of 2020 (The Davao City 20% Local Development Fund Statutory Allocation and Expenditure Code)",,,
GT-299,Public Finance & General Appropriations,Tier 2: Preemption & Carve-Outs,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 21,"Section 21. Local Disaster Risk Reduction and Management Fund (LDRRMF). — Not less than five percent (5%) of the estimated revenue from regular sources shall be set aside as the LDRRMF to support disaster risk management activities. Of the amount appropriated for LDRRMF, thirty percent (30%) shall be allocated as Quick Response Fund (QRF) or stand-by fund for relief and recovery programs in order that living conditions in communities stricken by disasters may be normalized as quickly as possible. Unexpended LDRRMF shall accrue to a special trust fund solely for the purpose of supporting disaster risk reduction activities within the next five (5) years.","City Ordinance No. 0418-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Fund Allocation Code)",Section 6,"SECTION 6. FIVE-YEAR DISASTER SPECIAL TRUST FUND. — Pursuant to the local fiscal autonomy provisions of Republic Act No. 7160 and in accordance with national public expenditure standards, unexpended balances of the LDRRMF shall accrue to a special trust fund solely for disaster risk reduction activities for five (5) years, in full compliance with RA 10121. The City Budget Office and the City Treasurer's Office shall verify budgetary appropriations and submit compliance certifications to the Sangguniang Panlungsod.","City Ordinance No. 0418-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Fund Allocation Code)",,,
GT-300,Public Finance & General Appropriations,Tier 2: Preemption & Carve-Outs,Republic Act No. 7160 (The Local Government Code of 1991),Section 287,Section 287. Local Development Projects. — Each local government unit shall appropriate in its annual budget no less than twenty percent (20%) of its annual internal revenue allotment for local development projects. Copies of each local development plan shall be furnished the Department of the Interior and Local Government (DILG).,"City Ordinance No. 0540-20, Series of 2020 (The Davao City 20% Local Development Fund Statutory Allocation and Expenditure Code)",Section 6,"SECTION 6. ELIGIBILITY OF INFRASTRUCTURE PROJECTS. — In the exercise of the corporate and financial management powers of the City Government of Davao over public revenue allocations, programs financed by the Local Development Fund shall adhere strictly to Joint Memorandum Circulars issued by DILG and DBM, funding capital public works and communal water systems. The City Planning and Development Office (CPDO) shall align capital outlay disbursements with the approved Annual Investment Plan.","City Ordinance No. 0540-20, Series of 2020 (The Davao City 20% Local Development Fund Statutory Allocation and Expenditure Code)",,,
GT-301,Public Finance & General Appropriations,Tier 2: Preemption & Carve-Outs,Republic Act No. 7160 (The Local Government Code of 1991),Section 287,Section 287. Local Development Projects. — Each local government unit shall appropriate in its annual budget no less than twenty percent (20%) of its annual internal revenue allotment for local development projects. Copies of each local development plan shall be furnished the Department of the Interior and Local Government (DILG).,"City Ordinance No. 0265-19, Series of 2019 (The Davao City Municipal Treasury Vault Security Keypad Access Specification Standard)",Section 4,"SECTION 4. BID OPENING AUDIO-VISUAL RECORDINGS. — To guarantee transparent financial administration, ensure fiscal discipline, and support vital socio-economic development projects, the Bids and Awards Committee Secretariat shall record all competitive public bidding sessions using digital video recording equipment. Disbursing officers and department heads failing to comply with these statutory allocation thresholds shall be subject to audit disallowance and administrative sanction.","City Ordinance No. 0265-19, Series of 2019 (The Davao City Municipal Treasury Vault Security Keypad Access Specification Standard)",,,
GT-302,Public Finance & General Appropriations,Tier 2: Preemption & Carve-Outs,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 21,"Section 21. Local Disaster Risk Reduction and Management Fund (LDRRMF). — Not less than five percent (5%) of the estimated revenue from regular sources shall be set aside as the LDRRMF to support disaster risk management activities. Of the amount appropriated for LDRRMF, thirty percent (30%) shall be allocated as Quick Response Fund (QRF) or stand-by fund for relief and recovery programs in order that living conditions in communities stricken by disasters may be normalized as quickly as possible. Unexpended LDRRMF shall accrue to a special trust fund solely for the purpose of supporting disaster risk reduction activities within the next five (5) years.","City Ordinance No. 0191-17, Series of 2017 (The Davao City Evacuation Center Standby Diesel Generator Fuel Tank Safety Standard)",Section 5,"SECTION 5. RELIEF BLANKET TEXTILE STANDARDS. — Pursuant to the local fiscal autonomy provisions of Republic Act No. 7160 and in accordance with national public expenditure standards, emergency thermal blankets procured for calamity evacuation centers shall consist of woven fleece fabric resistant to fraying. The City Budget Office and the City Treasurer's Office shall verify budgetary appropriations and submit compliance certifications to the Sangguniang Panlungsod.","City Ordinance No. 0191-17, Series of 2017 (The Davao City Evacuation Center Standby Diesel Generator Fuel Tank Safety Standard)",,,
GT-303,Public Finance & General Appropriations,Tier 2: Preemption & Carve-Outs,Republic Act No. 7160 (The Local Government Code of 1991),Section 287,Section 287. Local Development Projects. — Each local government unit shall appropriate in its annual budget no less than twenty percent (20%) of its annual internal revenue allotment for local development projects. Copies of each local development plan shall be furnished the Department of the Interior and Local Government (DILG).,"City Ordinance No. 0265-19, Series of 2019 (The Davao City Municipal Treasury Vault Security Keypad Access Specification Standard)",Section 4,"SECTION 4. BID OPENING AUDIO-VISUAL RECORDINGS. — To guarantee transparent financial administration, ensure fiscal discipline, and support vital socio-economic development projects, the Bids and Awards Committee Secretariat shall record all competitive public bidding sessions using digital video recording equipment. Disbursing officers and department heads failing to comply with these statutory allocation thresholds shall be subject to audit disallowance and administrative sanction.","City Ordinance No. 0265-19, Series of 2019 (The Davao City Municipal Treasury Vault Security Keypad Access Specification Standard)",,,
GT-304,Public Finance & General Appropriations,Tier 2: Preemption & Carve-Outs,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 21,"Section 21. Local Disaster Risk Reduction and Management Fund (LDRRMF). — Not less than five percent (5%) of the estimated revenue from regular sources shall be set aside as the LDRRMF to support disaster risk management activities. Of the amount appropriated for LDRRMF, thirty percent (30%) shall be allocated as Quick Response Fund (QRF) or stand-by fund for relief and recovery programs in order that living conditions in communities stricken by disasters may be normalized as quickly as possible. Unexpended LDRRMF shall accrue to a special trust fund solely for the purpose of supporting disaster risk reduction activities within the next five (5) years.","City Ordinance No. 0191-17, Series of 2017 (The Davao City Evacuation Center Standby Diesel Generator Fuel Tank Safety Standard)",Section 5,"SECTION 5. RELIEF BLANKET TEXTILE STANDARDS. — Pursuant to the local fiscal autonomy provisions of Republic Act No. 7160 and in accordance with national public expenditure standards, emergency thermal blankets procured for calamity evacuation centers shall consist of woven fleece fabric resistant to fraying. The City Budget Office and the City Treasurer's Office shall verify budgetary appropriations and submit compliance certifications to the Sangguniang Panlungsod.","City Ordinance No. 0191-17, Series of 2017 (The Davao City Evacuation Center Standby Diesel Generator Fuel Tank Safety Standard)",,,
GT-305,Public Finance & General Appropriations,Tier 3: Latent & Paraphrastic,Republic Act No. 7160 (The Local Government Code of 1991),Section 287,Section 287. Local Development Projects. — Each local government unit shall appropriate in its annual budget no less than twenty percent (20%) of its annual internal revenue allotment for local development projects. Copies of each local development plan shall be furnished the Department of the Interior and Local Government (DILG).,"Proposed City Ordinance No. 2024-085, Series of 2024 (The Davao City Capital Investment Sinking Fund and Municipal Personnel Allocation Measure)",Section 6,"SECTION 6. STRATEGIC REPROGRAMMING OF UNALLOCATED DEVELOPMENT BALANCES. — Pursuant to the financial administration authority of the Sangguniang Panlungsod to optimize municipal capital allocation and disaster preparedness, and to support municipal trade missions and sister-city investment summits, unexpended appropriations under the annual local development fund may be reprogrammed by executive order to finance city protocol hospitality and international civic delegation hosting. The City Treasurer and the City Budget Officer shall maintain strict fiduciary accounting and furnish annual expenditure reports to the City Council.","Proposed City Ordinance No. 2024-085, Series of 2024 (The Davao City Capital Investment Sinking Fund and Municipal Personnel Allocation Measure)",,,
